"","Year","day-month","excess_deaths","region","date","avg_max_temp","month","deaths_delta","cumdelta_deaths","temp_pctdelta","cumpctdelta_temp","time","id","id2","Intercept_1","Intercept_2","Intercept_3","Intercept_4","Intercept_5","Intercept_6","Intercept_7","Intercept_8","Intercept_9"
"31",2018,"04-Jun",7,"North East",2018-06-04,15.875,6,17,7,-6.00947306098283,-3.87209442020614,4,1,31,1,NA,NA,NA,NA,NA,NA,NA,NA
"32",2018,"04-Jun",0,"North West",2018-06-04,19.4083333333333,6,0,0,2.10434020166595,9.65065542496241,4,2,32,NA,1,NA,NA,NA,NA,NA,NA,NA
"33",2018,"04-Jun",0,"South East",2018-06-04,20.6416666666667,6,6,0,-6.18756805378025,26.8788363645444,4,8,33,NA,NA,NA,NA,NA,NA,NA,1,NA
"34",2018,"04-Jun",13,"South West",2018-06-04,21.0444444444444,6,0,13,0.0528262017960991,28.2510399337304,4,9,34,NA,NA,NA,NA,NA,NA,NA,NA,1
"35",2018,"04-Jun",0,"West Midlands",2018-06-04,18.99,6,7,0,-11.8384401114206,13.0785701414451,4,5,35,NA,NA,NA,NA,1,NA,NA,NA,NA
"36",2018,"04-Jun",0,"Yorkshire And The Humber",2018-06-04,15,6,0,0,-20.5298013245033,-5.39504928677496,4,3,36,NA,NA,1,NA,NA,NA,NA,NA,NA
"37",2018,"05-Jun",0,"East",2018-06-05,14.7,6,0,0,-14.820592823713,-8.5493666280453,5,6,37,NA,NA,NA,NA,NA,1,NA,NA,NA
"38",2018,"05-Jun",0,"East Midlands",2018-06-05,15.4333333333333,6,0,0,-9.77590126664501,0.562302901610858,5,4,38,NA,NA,NA,1,NA,NA,NA,NA,NA
"39",2018,"05-Jun",0,"London",2018-06-05,16.65,6,0,0,-16.2615255658005,0.778764988952307,5,7,39,NA,NA,NA,NA,NA,NA,1,NA,NA
"40",2018,"05-Jun",0,"North East",2018-06-05,13.925,6,0,0,-12.2834645669291,-16.1555589871353,5,1,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"41",2018,"05-Jun",0,"North West",2018-06-05,17.2333333333333,6,5,0,-11.2065264061829,-1.55587098122051,5,2,41,NA,1,NA,NA,NA,NA,NA,NA,NA
"42",2018,"05-Jun",0,"South East",2018-06-05,17.3352941176471,6,3,0,-16.0179534066352,10.8608829579092,5,8,42,NA,NA,NA,NA,NA,NA,NA,1,NA
"43",2018,"05-Jun",0,"South West",2018-06-05,16.65,6,0,0,-20.8817317845829,7.36930814914753,5,9,43,NA,NA,NA,NA,NA,NA,NA,NA,1
